Latitude,Longitude,MedInc,cluster
37.88,-122.23,8.3252,3
37.86,-122.22,8.3014,3
37.85,-122.24,7.2574,3
37.85,-122.25,5.6431,3
37.85,-122.25,3.8462,5
37.85,-122.25,4.0368,5
37.84,-122.25,3.6591,5
37.84,-122.25,3.12,5
37.84,-122.26,2.0804,5
37.84,-122.25,3.6912,5
37.85,-122.26,3.2031,5
37.85,-122.26,3.2705,5
37.85,-122.26,3.075,5
37.84,-122.26,2.6736,5
37.85,-122.26,1.9167,5
37.85,-122.26,2.125,5
37.85,-122.27,2.775,5
37.85,-122.27,2.1202,5
37.84,-122.26,1.9911,5
37.84,-122.27,2.6033,5
37.85,-122.27,1.3578,5
37.85,-122.27,1.7135,5
37.84,-122.27,1.725,5
37.84,-122.27,2.1806,5
37.84,-122.27,2.6,5
37.85,-122.28,2.4038,5
37.85,-122.28,2.4597,5
37.85,-122.28,1.808,5
37.84,-122.28,1.6424,5
37.84,-122.28,1.6875,5
37.84,-122.28,1.9274,5
37.84,-122.28,1.9615,5
37.84,-122.27,1.7969,5
37.83,-122.27,1.375,5
37.83,-122.27,2.7303,5
37.83,-122.27,1.4861,5
37.83,-122.27,1.0972,5
37.83,-122.28,1.4103,5
37.83,-122.26,3.48,5
37.83,-122.26,2.5898,5
37.83,-122.26,2.0978,5
37.83,-122.26,1.2852,5
37.84,-122.26,1.025,5
37.84,-122.26,3.9643,5
37.83,-122.26,3.0125,5
37.83,-122.26,2.6768,5
37.83,-122.26,2.026,5
37.82,-122.27,1.7348,5
37.82,-122.26,0.9506,5
37.82,-122.27,1.775,5
37.82,-122.27,0.9218,5
37.82,-122.27,1.5045,5
37.82,-122.27,1.1108,5
37.82,-122.27,1.2475,5
37.82,-122.28,1.6098,5
37.82,-122.28,1.4113,5
37.82,-122.28,1.5057,5
37.82,-122.28,0.8172,5
37.82,-122.28,1.2171,5
37.82,-122.29,2.5625,5
37.83,-122.29,3.3929,5
37.82,-122.29,6.1183,3
37.81,-122.29,0.9011,5
37.81,-122.3,1.1909999999999998,5
37.81,-122.3,2.5938,5
37.81,-122.3,1.1667,5
37.81,-122.3,0.8056,5
37.8,-122.29,2.6094,5
37.81,-122.3,1.8516,5
37.81,-122.29,0.9802,5
37.81,-122.29,1.7719,5
37.81,-122.29,0.7286,5
37.81,-122.29,1.75,5
37.81,-122.29,0.4999,5
37.81,-122.29,2.483,5
37.81,-122.28,0.9241,5
37.81,-122.28,2.4464,5
37.81,-122.28,1.1111,5
37.81,-122.29,0.8026,5
37.8,-122.28,2.0114,5
37.81,-122.28,1.5,5
37.81,-122.27,1.1667,5
37.81,-122.28,1.5208,5
37.81,-122.28,0.8075,5
37.81,-122.28,1.8088,5
37.81,-122.28,2.4083,5
37.81,-122.27,0.977,5
37.81,-122.27,0.76,5
37.8,-122.27,0.9722,5
37.8,-122.27,1.2434,5
37.8,-122.27,2.0938,5
37.8,-122.28,0.8668,5
37.8,-122.28,0.75,5
37.79,-122.27,2.6354,5
37.8,-122.27,1.8477,5
37.8,-122.26,2.0096,5
37.82,-122.26,2.8345,5
37.81,-122.26,2.0062,5
37.82,-122.26,1.2185,5
37.82,-122.26,2.6104,5
37.81,-122.25,2.4912,5
37.81,-122.25,3.2177,5
37.81,-122.25,3.125,5
37.81,-122.25,2.5795,5
37.81,-122.26,2.8406,5
37.82,-122.24,4.9306,3
37.81,-122.24,3.2727,5
37.81,-122.25,3.1691,5
37.82,-122.24,3.9,5
37.82,-122.25,3.9063,5
37.82,-122.25,5.0917,3
37.82,-122.25,2.6429,5
37.82,-122.25,3.0233,5
37.83,-122.25,3.1484,5
37.83,-122.25,3.4722,5
37.83,-122.25,3.1429,5
37.83,-122.25,2.4234,5
37.83,-122.25,3.0897,5
37.84,-122.23,5.8596,3
37.84,-122.23,5.2868,3
37.83,-122.24,5.956,3
37.85,-122.24,4.9643,3
37.85,-122.23,6.3434,3
37.84,-122.24,5.1773,3
37.85,-122.24,7.2354,3
37.85,-122.22,5.457000000000001,3
37.84,-122.22,7.5,3
37.84,-122.21,6.0194,3
37.83,-122.21,7.5544,3
37.84,-122.2,6.0666,3
37.84,-122.21,7.0548,3
37.84,-122.19,11.6017,3
37.84,-122.2,7.4882,3
37.83,-122.21,6.8976,3
37.83,-122.19,8.2049,3
37.83,-122.2,8.401,3
37.83,-122.19,6.8538,3
37.82,-122.19,8.317,3
37.82,-122.2,7.0175,3
37.82,-122.2,6.3302,3
37.81,-122.18,6.3624,3
37.82,-122.21,7.0549,3
37.81,-122.2,6.7851,3
37.8,-122.21,2.8929,5
37.8,-122.21,3.0812,5
37.81,-122.21,5.2402,3
37.81,-122.22,6.5217,3
37.8,-122.22,3.2632,5
37.8,-122.22,3.0298,5
37.8,-122.22,4.5428,5
37.81,-122.22,4.072,5
37.81,-122.22,5.3509,3
37.8,-122.23,3.1603,5
37.81,-122.23,4.7708,3
37.81,-122.22,8.1564,3
37.81,-122.23,8.8793,3
37.81,-122.24,6.8591,3
37.81,-122.24,6.0302,3
37.81,-122.23,7.507999999999999,3
37.81,-122.24,2.7477,5
37.8,-122.24,2.1944,5
37.8,-122.25,3.0149,5
37.81,-122.24,3.675,5
37.81,-122.25,3.225,5
37.8,-122.25,2.9345,5
37.8,-122.25,2.1429,5
37.8,-122.25,1.6121,5
37.8,-122.25,1.3929,5
37.79,-122.24,2.3173,5
37.79,-122.25,1.7772,5
37.79,-122.25,2.6458,5
37.79,-122.25,2.181,5
37.8,-122.25,2.2303,5
37.8,-122.25,1.6504,5
37.8,-122.24,2.2697,5
37.8,-122.24,2.1563,5
37.8,-122.24,2.1348,5
37.8,-122.24,2.6292,5
37.8,-122.23,2.3833,5
37.8,-122.24,2.957,5
37.8,-122.24,2.5238,5
37.8,-122.23,1.9375,5
37.8,-122.23,1.9028,5
37.8,-122.23,2.25,5
